AYM00089050,-62.183,-58.883,16.0,BELLINGSHAUSENAWS,1970,1999,6342
AYM00089051,-63.4667,-56.2833,18.0,PETRELNAS,1969,1972,1654
AYM00089055,-64.2333,-56.7167,208.0,BASEMARAMBIO,1982,2023,5068
AYM00089062,-67.5661,-68.1297,3.0,ROTHERA,2002,2023,4446
AYM00089063,-65.25,-64.2667,11.0,FARADAY,1954,1982,10141
AYM00089125,-80.017,-119.533,1515.0,BYRDSTN,1957,1979,7679
AYM00089512,-70.7678,11.8317,118.9,NOVOLAZAREVSKAJA,1969,2023,16307
AYM00089522,-70.4333,24.3167,38.0,BASEROIBAUDOUIN,1958,1959,1097
AYM00089532,-69.0053,39.5811,18.4,SYOWA,1959,2023,38349
AYM00089542,-67.667,45.85,40.0,MOLODEZNAJA,1969,1998,13014
AYM00089557,-78.4,87.583,3571.0,SOVIETSKAVA,1958,1958,273
AYM00089564,-67.6017,62.8753,9.9,MAWSON,1954,2023,39550
AYM00089571,-68.5744,77.9672,18.0,DAVIS,1957,2023,41276
AYM00089592,-66.5519,93.0147,43.4,MIRNYJ,1957,2023,23414
AYM00089593,-69.73,95.05,2701.0,PIONERSKAVA,1958,1958,121
AYM00089601,-66.27,100.73,290.0,BUNGEROASIS,1957,1958,548
AYM00089606,-78.45,106.867,3486.0,VOSTOK,1958,1991,7319
AYM00089611,-66.2825,110.5231,40.0,CASEY,1957,2023,43416
AYM00089625,-75.1017,123.4119,3233.0,CONCORDIA,2006,2023,3635
AYM00089642,-66.6631,140.0011,43.0,DUMONTD'URVILLE,1951,2023,18093
AYM00089657,-69.5,159.4,304.0,LENINGRADSKAJA,1983,1991,2575
AYM00089662,-74.6958,164.0922,92.0,MARIOZUCHELLISTATION,1987,2023,4509
AYM00089664,-77.85,166.6667,24.0,MCMURDO,1956,2023,31042
AYM00089671,-72.3,170.2167,5.2,ADAREHALLETT,1957,1973,4373
AYW00057401,-77.7333,-41.1167,43.3,ELLSWORTHIGY,1957,1962,2138
AYW00067401,-79.25,-147.5,651.1,LITTLEROCKFORD,1960,1962,309
AYW00067402,-76.2667,-147.5,591.0,LITTLEROCKFORD,1962,1965,389
AYXUA891755,-78.2,-162.25,32.0,LITTLEAMERICA,1956,1958,1612
BAM00040427,26.267,50.617,2.0,BAHRAIN/MUHARRAQ,1928,1974,18609
BBM00078954,13.0667,-59.4833,50.0,GRANTLEYADAMS,1965,2023,29861
BCM00068032,-19.9833,23.4167,945.0,MAUN,1957,2012,1796
BCM00068040,-21.417,25.6,985.0,LETLHAKANE,1997,2006,693
BCM00068240,-24.55,25.9167,1005.0,SERETSEKHAMAINTERNATIONALAI,1985,2011,5771
BCM00068328,-26.05,22.45,1000.0,TSABONG,1989,2004,836
BDM00078016,32.3669,-64.6772,4.0,LFWADEINTERNATIONALAIRPORT,1946,2023,62917
BEM00006400,51.083,2.65,9.0,KOKSIJDE,1999,2002,311
BEM00006447,50.7969,4.3581,99.0,UCCLE,1949,2015,42558
BEM00006458,50.7456,4.7633,112.8,BEAUVECHAIN,2005,2023,6521
BEM00006476,50.033,5.4,558.0,ST-HUBERT,1964,2006,26357
BEM00006496,50.4822,6.1814,565.1,ELSENBORN,1999,2021,629
BFM00078063,26.6167,-78.3667,6.1,GOLDROCKCREEK,1951,1970,13583
BFM00078073,25.05,-77.4667,7.0,NASSAUAIRPORTNEWPROVIDENCE,1977,2020,14371
BFM00078076,25.2667,-76.3,10.1,ELEUTHERAISLAND,1952,1970,6389
BFM00078107,22.37,-73.03,21.0,MAYAGUAN,1955,1957,1160
BGM00041883,24.85,89.3667,18.0,BOGRA,1949,2023,35299
BGM00041923,23.7667,90.3833,8.0,DHAKA,1938,2023,40357
BGM00041977,22.35,91.8167,33.0,CHITTAGONG(AMBAGAN),1928,2023,43241
BHM00078583,17.5333,-88.3,5.0,BELIZE/PHILLIPGOLDSTONINTL.,1980,2023,19660
BLM00085201,-16.517,-68.183,4061.0,LAPAZ/ALTO,1945,2003,4156
BMM00048042,21.983,96.1,74.0,MANDALAY,1928,1998,5055
BMM00048053,20.883,95.9,220.0,MEIKTILA,1962,1998,5141
BMM00048062,20.133,92.883,4.0,SITTWE,1926,1985,9125
BMM00048097,16.7667,96.1667,14.0,YANGON,1928,2022,14067
BNM00065330,9.35,2.6167,392.0,PARAKOU,1973,2022,22558
BNM00065344,6.35,2.3833,5.0,COTONOU,1940,2023,45057
BOM00026850,53.933,27.633,231.0,MINSK,1939,1998,43880
BOM00033008,52.1167,23.6833,144.0,BREST,1951,2022,40803
BOM00033036,52.05,29.25,185.0,MOZYR(AMOS),1957,1969,6912
BOM00033041,52.4019,30.9631,126.3,GOMEL,1970,2022,33600
BPM00091517,-9.4167,159.9667,55.0,HONIARA,1959,2011,24636
BPM00091541,-10.7,165.8,24.0,SANTACRUZISLAND,1992,1993,151
BRM00081729,-3.2944,-60.6283,19.0,MANACAPURU,2014,2015,2770
BRM00082022,2.8333,-60.7,140.0,BOAVISTA(AERO),1977,2023,10170
BRM00082026,2.2239,-55.9472,325.0,TIRIOS,2006,2023,8037
BRM00082099,0.05,-51.0667,16.0,MACAPA(AERO),2005,2023,7880
BRM00082107,-0.1167,-66.9667,79.0,SAOGABRIELDACACHOEIRA,2008,2022,5532
BRM00082193,-1.3833,-48.4833,16.0,BELEM(AERO),1943,2023,24546
BRM00082244,-2.4333,-54.7167,72.0,SANTAREM(AERO),1973,2023,8488
BRM00082281,-2.6,-44.2333,53.0,SAOLUIZ(AERO),1971,2021,11373
BRM00082332,-3.15,-59.9833,84.0,MANAUS(AERO),1967,2023,23426
BRM00082397,-3.7667,-38.6,26.0,FORTALEZA,1973,2019,9728
BRM00082400,-3.85,-32.4167,56.0,FERNANDODENORONHA,1958,2023,14247
BRM00082411,-4.25,-69.9333,81.0,TABATINGA(AERO),2006,2023,7391
BRM00082532,-5.8167,-61.2833,53.0,MANICORE(AERO),2006,2023,7853
BRM00082599,-5.9167,-35.25,52.0,NATAL(AERO),1943,2023,18633
BRM00082678,-6.7667,-43.0167,127.0,FLORIANO,1971,2019,7626
BRM00082705,-7.5833,-72.7667,199.0,CRUZEIRODOSUL(AERO),2004,2023,8427
BRM00082765,-7.3333,-47.4667,193.0,CAROLINA,1970,2020,5666
BRM00082824,-8.7667,-63.9167,102.0,PORTOVELHO(AERO),1977,2023,12678
BRM00082900,-8.05,-34.9167,7.0,RECIFE,1952,2019,14978
BRM00082917,-10.0,-67.8,142.0,RIOBRANCO(AERO),2004,2023,8458
BRM00082930,-9.333,-54.967,537.0,CACHIMBOAERO,1973,1986,2176
BRM00082965,-9.8667,-56.1,288.0,ALTAFLORESTA(AERO),1987,2023,12422
BRM00082983,-9.3833,-40.4833,370.0,PETROLINA,1970,2020,9396
BRM00083208,-12.7,-60.1,612.0,VILHENA(AERO),1967,2023,16970
BRM00083229,-13.0167,-38.5167,52.0,SALVADOR,1970,2018,7952
BRM00083288,-13.2667,-43.4167,440.0,BOMJESUSDALAPA,1970,2019,6605
BRM00083361,-15.6,-56.1,165.0,CUIABA,1991,1993,443
BRM00083362,-15.65,-56.1,187.0,CUIABA(AERO),1974,2021,12209
BRM00083378,-15.8667,-47.9333,1061.0,BRASILIA(AERO),1966,2023,28734
BRM00083498,-17.7333,-39.25,3.0,CARAVELAS,1975,2016,5524
BRM00083525,-18.8833,-48.2167,943.0,UBERLANDIA(AERO),2006,2023,8264
BRM00083554,-19.0,-57.6667,141.0,CORUMBA(AERO),2002,2023,10086
BRM00083566,-19.6167,-43.9667,827.0,CONFINS(AERO),1973,2023,13295
BRM00083612,-20.4667,-54.6667,567.0,CAMPOGRANDE(AERO),1966,2023,26689
BRM00083650,-20.5,-29.3167,5.0,TRINDADE(ILHA),1967,2019,9829
BRM00083746,-22.8167,-43.25,6.0,GALEAO,1961,2023,33260
BRM00083779,-23.5,-46.6333,722.0,MARTE(AERO),2000,2023,14244
BRM00083780,-23.617,-46.65,802.0,SAOPAULO,1955,2000,16840
BRM00083827,-25.5167,-54.5833,180.0,FOZDOIGUACU(AERO),1974,2023,14621
BRM00083840,-25.5167,-49.1667,908.0,CURITIBA(AERO),1965,2023,28173
BRM00083899,-27.6667,-48.55,5.0,FLORIANOPOLIS(AERO),1973,2023,13077
BRM00083928,-29.7833,-57.0333,74.0,URUGUAIANA(AERO),1973,2023,10832
BRM00083937,-29.7167,-53.7,85.0,SANTAMARIA(AERO),2006,2023,10875
BRM00083971,-30.0,-51.1833,3.0,PORTOALEGRE(AERO),1950,2023,31843
BUM00015614,42.65,23.3833,595.0,SOFIA(OBSERV.),1955,2023,43434
BUM00015730,41.65,25.367,331.0,KURDJALI,1966,1991,9983
BXM00096315,4.9333,114.9333,22.0,BRUNEIAIRPORT,1981,2023,47996
CAM00071043,65.2833,-126.75,93.6,NORMANWELLSUA,1951,2023,50037
CAM00071051,72.0,-125.27,84.0,SACHSHARBOUR,1955,1986,22298
CAM00071072,76.25,-119.35,58.0,MOULDBAY,1948,1997,34676
CAM00071074,78.8,-103.5,25.0,ISACHSEN,1948,1978,21510
CAM00071081,68.7667,-81.2167,5.9,HALLBEACHUA,1957,2023,47118
CAM00071082,82.5,-62.3333,65.4,ALERTUA,1950,2023,52747
CAM00071090,70.45,-68.55,2.1,CLYDERIVER,1950,1970,13851
CAM00071109,50.685,-127.3758,17.4,PORTHARDYUA,1951,2023,50472
CAM00071115,50.233,-119.283,556.0,VERNONAUTO,1972,1993,15732
CAM00071119,53.5475,-114.1083,766.3,EDMONTONSTONYPLAIN,1946,2023,50410
CAM00071124,54.75,-110.05,700.0,PRIMROSELAKE,1968,2010,845
CAM00071197,47.567,-59.15,40.0,PORT-AUX-BASQUES,1994,1997,2303
CAM00071203,49.9408,-119.4003,456.0,KELOWNAUA,1994,2017,16898
CAM00071569,50.2,-104.7,580.0,BRATT'SLAKEUA,2004,2011,401
CAM00071600,43.9322,-60.0094,5.0,SABLEISLAND,1954,2019,44361
CAM00071603,43.8667,-66.1,8.9,YARMOUTHUA,1988,2023,24190
CAM00071625,45.95,-77.317,130.0,PETAWAWA,1986,2005,1273
CAM00071701,45.8333,-66.4333,50.6,GAGETOWNA,1971,2023,11211
CAM00071716,46.9,-71.483,178.0,VALCARTIERAIRPORT,1977,2006,2371
CAM00071722,46.3019,-76.0061,188.6,MANIWAKIUA,1954,2023,48209
CAM00071801,47.6667,-52.75,140.0,SAINTJOHN'SARPT,1950,2009,30095
CAM00071802,47.5167,-52.7833,112.4,STJOHN'SWESTUA,2009,2023,9852
CAM00071811,50.2167,-66.25,53.1,SEPT-ILESUA,1954,2023,48104
CAM00071815,48.5667,-58.5667,57.0,STEPHENVILLEUA,1946,2023,63992
CAM00071816,53.3,-60.3667,35.7,GOOSEUA,1946,2023,62942
CAM00071823,53.7572,-73.6792,302.4,LAGRANDEIVUA,1985,2023,26816
CAM00071836,51.2667,-80.65,10.0,MOOSONEEUA,1954,2023,46891
CAM00071843,49.8,-97.1333,227.0,WINNIPEGUA,2000,2022,599
CAM00071845,51.45,-90.2,386.2,PICKLELAKEUA,1992,2023,22026
CAM00071853,49.783,-99.633,373.0,SHILO,1968,2007,6238
CAM00071866,52.167,-106.717,504.0,SASKATOONDIEFENBAKE,1994,1998,2309
CAM00071867,53.9667,-101.1,274.0,THEPASUA,1954,2023,48719
CAM00071876,52.767,-108.25,548.0,NORTHBATTLEFORD,1998,2002,2182
CAM00071877,51.117,-114.017,1084.0,CALGARYINTL,1965,1995,15534
CAM00071893,49.7167,-124.9,25.6,COMOXA,2009,2010,104
CAM00071896,53.883,-122.667,691.0,PRINCEGEORGE,1954,1998,30854
CAM00071906,58.1167,-68.4167,60.2,KUUJJUAQ,1947,2023,50625
CAM00071907,58.4667,-78.0833,24.4,INUKJUAKUA,1950,2023,51398
CAM00071908,53.9,-122.79,600.5,PRINCEGEORGEUA,2000,2023,16899
CAM00071909,63.75,-68.55,21.9,IQALUITUA,1946,2023,53546
CAM00071913,58.7333,-94.0667,28.5,CHURCHILLAUA,1950,2023,51968
CAM00071915,64.2,-83.3667,57.3,CORALHARBOURUA,1950,2017,45390
CAM00071917,79.9833,-85.9333,10.4,EUREKAUA,1948,2023,55015
CAM00071924,74.7042,-94.9681,46.1,RESOLUTEUA,1948,2023,55324
CAM00071925,69.1333,-105.0667,25.1,CAMBRIDGEBAYUA,1962,2023,38727
CAM00071926,64.3167,-96.0,50.8,BAKERLAKEUA,1949,2023,47032
CAM00071928,52.433,-114.917,989.0,ROCKYMTNHOUSE,1969,1980,1475
CAM00071934,60.0261,-111.9294,204.1,FORTSMITHUA,1954,2023,47591
CAM00071938,67.8167,-115.0833,7.0,COPPERMINE,1932,1970,14703
CAM00071945,58.8333,-122.6,378.3,FORTNELSONUA,1954,2023,48585
CAM00071957,68.3167,-133.5167,103.2,INUVIKUA,1960,2023,45850
CAM00071964,60.7328,-135.0969,707.0,WHITEHORSEUA,1954,2023,48160
CAM00071968,68.23,-135.0,10.0,AKLAVIK,1950,1960,7053
CAM00072807,47.3,-54.0,14.0,ARGENTIA,1946,1970,11299
CAM00072826,53.2,-70.9,537.0,NITCHEQUON,1954,1977,15444
CAM00072848,53.833,-89.867,218.0,TROUTLAKE,1954,1977,15743
CAM00072918,73.0,-85.3,0.0,ARCTICBAY(NWT),1942,1957,7539
CDM00064700,12.1333,15.0333,295.0,NDJAMENA,1950,2023,47393
CEM00043466,6.9,79.8667,7.0,COLOMBO,1939,2022,34213
CFM00064400,-4.8167,11.9,17.0,POINTE-NOIRE,1947,2023,29682
CFM00064458,1.6167,16.05,352.0,OUESSO,1963,2022,12845
CGM00064220,-4.367,15.25,445.0,KINSHASA/BINZA,1980,1983,383
CHM00050527,49.25,119.7,653.3,HAILAR,1956,2022,43830
CHM00050557,49.1667,125.2333,243.0,NENJIANG,1956,2021,42699
CHM00050745,47.383,123.917,148.0,QIQIHAR,1973,2000,17927
CHM00050774,47.7167,128.8333,264.8,YICHUN,1973,2021,34850
CHM00050834,46.5,121.36,427.0,TE-PO-SU-K/-MIAO,1982,2000,11684
CHM00050873,46.817,130.333,80.0,CHIAMUSSU,1956,1961,2815
CHM00050953,45.9333,126.5667,118.3,HARBIN,1958,2021,44947
CHM00051076,47.7333,88.0833,737.0,ALTAY,1958,2021,44914
CHM00051133,46.733,83.0,549.0,TACHENG,1964,2002,22028
CHM00051243,45.6,84.85,428.0,KARAMAY,1973,2002,20097
CHM00051288,45.367,90.533,1651.0,BAYTIKSHAN,1959,2002,19772
CHM00051431,43.95,81.3333,664.0,YINING,1956,2022,44184
CHM00051463,43.7833,87.6167,919.0,WULUMUQI,1956,2022,47802
CHM00051628,41.26,80.3,1286.0,WEN-SU,1959,1999,9162
CHM00051644,41.7167,82.95,1083.5,KUQA,1957,2021,43756
CHM00051656,41.75,86.133,933.0,KORLA,1964,2002,21640
CHM00051709,39.4833,75.75,1386.7,KASHI,1956,2021,46327
CHM00051777,39.0333,88.1667,889.0,RUOQIANG,1956,2022,46249
CHM00051828,37.1333,79.9333,1375.0,HOTAN,1957,2021,45439
CHM00051839,37.0667,82.7167,1409.0,MINFENG,1973,2021,20500
CHM00051848,37.93,83.65,1264.0,ANDIR,1979,1998,14362
CHM00051886,38.25,90.85,3139.0,MANGNAI,1973,2002,15030
CHM00051895,37.85,91.65,3060.0,MANGYA,1957,1961,1192
CHM00052203,42.8167,93.5167,739.0,HAMI,1957,2021,43028
CHM00052267,41.95,101.0667,941.0,EJINQI,1957,2021,39697
CHM00052313,41.7833,95.1333,1935.0,XING-XING-XIA,1959,1959,122
CHM00052323,41.8,97.0333,1770.0,MAZONGSHAN,1963,2021,38773
CHM00052418,40.15,94.6833,1140.0,DUNHUANG,1957,2022,45755
